node,polarity,fan_size
1086,pro_vaccines,189
1090,pro_vaccines,789
1095,pro_vaccines,267
1097,pro_vaccines,264
1100,pro_vaccines,2982
1101,pro_vaccines,19101
1102,pro_vaccines,194013
1106,pro_vaccines,1733137
1107,pro_vaccines,35092
1111,pro_vaccines,1075
1122,pro_vaccines,1369
1129,pro_vaccines,7566
1135,pro_vaccines,217
1153,pro_vaccines,2073
1155,pro_vaccines,3292
1163,pro_vaccines,2117
1164,pro_vaccines,67
1165,pro_vaccines,42990
1166,pro_vaccines,5118
1170,pro_vaccines,4185
1172,pro_vaccines,538
1174,pro_vaccines,24209
1178,pro_vaccines,1370
1180,pro_vaccines,689
1182,pro_vaccines,22
1192,pro_vaccines,6423
1194,pro_vaccines,845
1196,pro_vaccines,10093
1198,pro_vaccines,13917
1202,pro_vaccines,1562
1208,pro_vaccines,251
1213,pro_vaccines,208
1217,pro_vaccines,1193
1220,pro_vaccines,245
1221,pro_vaccines,11301
1231,pro_vaccines,2118
1232,pro_vaccines,823
1233,pro_vaccines,3532
1235,pro_vaccines,17527
1242,pro_vaccines,472
1244,pro_vaccines,1409
1247,pro_vaccines,6654
1248,pro_vaccines,13228
1253,pro_vaccines,1941
1254,pro_vaccines,15392
1260,pro_vaccines,2204
1263,pro_vaccines,20
1266,pro_vaccines,254
1268,pro_vaccines,5559
1269,pro_vaccines,177
1274,pro_vaccines,462
1275,pro_vaccines,31
1277,pro_vaccines,48193
1288,pro_vaccines,17499
1295,pro_vaccines,153327
1296,pro_vaccines,35944
1297,pro_vaccines,16611
1300,pro_vaccines,6248
1301,pro_vaccines,8532
1304,pro_vaccines,1789
1305,pro_vaccines,1182
1309,pro_vaccines,12445
1310,pro_vaccines,25501
1315,pro_vaccines,6517
1316,pro_vaccines,812
1326,pro_vaccines,453650
1327,pro_vaccines,561
1336,pro_vaccines,561
1338,pro_vaccines,12896
1346,pro_vaccines,1261
1347,pro_vaccines,174197
1355,pro_vaccines,301
