node,polarity,fan_size
321,neutral,891
322,neutral,33089
323,neutral,5715
324,neutral,8089
325,neutral,73237
326,neutral,129
327,neutral,4259
328,neutral,14054
329,neutral,169957
330,neutral,6127
331,neutral,656
332,neutral,4099
333,neutral,67
334,neutral,47472
335,neutral,136039
336,neutral,282
337,neutral,31122
338,neutral,8666
339,neutral,443
340,neutral,429
341,neutral,38243
342,neutral,6114
343,neutral,108511
344,neutral,129927
345,neutral,37660
346,neutral,25678
347,neutral,2601
348,neutral,17473
349,neutral,102642
350,neutral,1694
351,neutral,1330
352,neutral,571
353,neutral,1380
354,neutral,97948
355,neutral,487
356,neutral,30378
357,neutral,429
359,neutral,811
360,neutral,12024
361,neutral,1038080
362,neutral,47237
363,neutral,544
364,neutral,10148
365,neutral,214
366,neutral,107583
367,neutral,30211
368,neutral,73
369,neutral,789
370,neutral,209
371,neutral,2561
372,neutral,608
373,neutral,737
374,neutral,16987
375,neutral,540
376,neutral,7450
377,neutral,8269
378,neutral,2984
379,neutral,66696
380,neutral,641108
381,neutral,8636
382,neutral,333
383,neutral,1628
384,neutral,2202
385,neutral,9004
386,neutral,845
387,neutral,616
388,neutral,10890
389,neutral,4858
390,neutral,3873
391,neutral,355
392,neutral,3639
393,neutral,235
394,neutral,10388
395,neutral,1181
396,neutral,7166
397,neutral,3792
398,neutral,432
399,neutral,1799
400,neutral,1687
401,neutral,7394
402,neutral,183
403,neutral,170
404,neutral,1511
405,neutral,265393
406,neutral,324
407,neutral,3060
408,neutral,1707
409,neutral,130
410,neutral,320
411,neutral,129
412,neutral,5130
413,neutral,406
414,neutral,143
415,neutral,47647
416,neutral,148
417,neutral,2635
418,neutral,1005
419,neutral,207
420,neutral,926
421,neutral,14423
422,neutral,1162676
423,neutral,4499
424,neutral,11521
425,neutral,9290
426,neutral,919
427,neutral,3256
428,neutral,315
429,neutral,1265
430,neutral,27932
431,neutral,291
432,neutral,545
433,neutral,260996
434,neutral,212340
435,neutral,2576
436,neutral,18489
437,neutral,2176
438,neutral,11306
439,neutral,14004
440,neutral,1620
441,neutral,476
443,neutral,2642
444,neutral,1912
446,neutral,12799
447,neutral,391
448,neutral,31763
449,neutral,98
450,neutral,323716
451,neutral,10725
452,neutral,11958
454,neutral,1845
455,neutral,1010
456,neutral,61
457,neutral,2707
458,neutral,1336790
459,neutral,1803
460,neutral,7228
461,neutral,804021
462,neutral,1128
463,neutral,161
464,neutral,36833
465,neutral,711
466,neutral,169
467,neutral,357
468,neutral,2612
469,neutral,251
470,neutral,1677
473,neutral,293
474,neutral,168
475,neutral,1210
476,neutral,431
477,neutral,501
478,neutral,867
479,neutral,396
480,neutral,338
481,neutral,190
482,neutral,2696
483,neutral,1138
484,neutral,231116
485,neutral,25846
486,neutral,2844
487,neutral,32939
488,neutral,11395
489,neutral,21085
490,neutral,2107
491,neutral,25
492,neutral,8856
493,neutral,26516
494,neutral,81037
495,neutral,47
496,neutral,1372
497,neutral,10809
498,neutral,9598
499,neutral,614654
500,neutral,33313
501,neutral,1213
502,neutral,4683
503,neutral,440218
504,neutral,94
505,neutral,9339
506,neutral,1531
507,neutral,588
508,neutral,50
509,neutral,147
510,neutral,3186
511,neutral,1162
512,neutral,2220
513,neutral,1132
514,neutral,795
515,neutral,2012
516,neutral,134
517,neutral,4056
518,neutral,11041
519,neutral,3100
520,neutral,15470
521,neutral,5438
522,neutral,1249
523,neutral,585
524,neutral,547
525,neutral,3202
527,neutral,1161
528,neutral,346
529,neutral,548
530,neutral,31576
531,neutral,54650
532,neutral,66
533,neutral,4613
534,neutral,111418
535,neutral,8379
536,neutral,840
537,neutral,801
538,neutral,1281
539,neutral,940
540,neutral,334
541,neutral,200
542,neutral,3719
543,neutral,549
544,neutral,2197
545,neutral,92
546,neutral,32740
547,neutral,19613
548,neutral,3658
549,neutral,5592
550,neutral,1106
551,neutral,1402
552,neutral,125
553,neutral,5538
554,neutral,12153
555,neutral,24753
556,neutral,954
557,neutral,132
558,neutral,193
559,neutral,867
560,neutral,8958
561,neutral,333
562,neutral,5860
563,neutral,28276
564,neutral,3520
565,neutral,1023
566,neutral,617
567,neutral,1013
568,neutral,292966
569,neutral,574
570,neutral,1032265
571,neutral,1671
572,neutral,360
573,neutral,8288
574,neutral,165
575,neutral,79
576,neutral,42979
577,neutral,1536
578,neutral,2512
579,neutral,6755
580,neutral,240
581,neutral,228
582,neutral,2741
583,neutral,343
584,neutral,188
585,neutral,2793
586,neutral,10716
587,neutral,539
588,neutral,82
589,neutral,4189
590,neutral,29
591,neutral,6672
592,neutral,1625
593,neutral,425
594,neutral,1475
595,neutral,705
596,neutral,9043
597,neutral,216
598,neutral,2032
599,neutral,4659
600,neutral,440
601,neutral,1016
602,neutral,628
603,neutral,565
604,neutral,657
605,neutral,7425
606,neutral,9498
607,neutral,5558
608,neutral,2093
609,neutral,5267
610,neutral,39
611,neutral,8042
612,neutral,13025
613,neutral,223508
614,neutral,5293
615,neutral,5438
616,neutral,954
617,neutral,1699
618,neutral,45
619,neutral,5398
620,neutral,161
621,neutral,1923
622,neutral,4102
623,neutral,55993
624,neutral,10826
625,neutral,124670
626,neutral,1349
627,neutral,37
628,neutral,280
629,neutral,15241
630,neutral,1598
631,neutral,9352
632,neutral,144355
633,neutral,27103
634,neutral,5281
635,neutral,362
636,neutral,15878
637,neutral,2637
638,neutral,653
639,neutral,500
640,neutral,346
641,neutral,749
642,neutral,575054
643,neutral,158
644,neutral,21240
645,neutral,15219
646,neutral,92
647,neutral,382
648,neutral,6749
649,neutral,4986
650,neutral,32486
651,neutral,6169
358,anti_vaccines,1004
526,anti_vaccines,284
652,anti_vaccines,259
653,anti_vaccines,3746
656,anti_vaccines,120
658,anti_vaccines,228
659,anti_vaccines,1650
660,anti_vaccines,2966
661,anti_vaccines,2449
662,anti_vaccines,1971
664,anti_vaccines,503
665,anti_vaccines,979
667,anti_vaccines,1765
668,anti_vaccines,3472
669,anti_vaccines,193
670,anti_vaccines,547
677,anti_vaccines,634
678,anti_vaccines,1030
679,anti_vaccines,573
680,anti_vaccines,3202
681,anti_vaccines,123
682,anti_vaccines,1230
683,anti_vaccines,3645
684,anti_vaccines,1006
685,anti_vaccines,5333
686,anti_vaccines,12750
689,anti_vaccines,951
690,anti_vaccines,248
691,anti_vaccines,2083
694,anti_vaccines,1721
698,anti_vaccines,365
699,anti_vaccines,541636
704,anti_vaccines,923
705,anti_vaccines,2332
706,anti_vaccines,505303
710,anti_vaccines,9029
711,anti_vaccines,513
712,anti_vaccines,1649
713,anti_vaccines,20653
714,anti_vaccines,95209
715,anti_vaccines,2389
716,anti_vaccines,10485
718,anti_vaccines,29427
719,anti_vaccines,1818
720,anti_vaccines,7434
721,anti_vaccines,94530
722,anti_vaccines,467729
724,anti_vaccines,11997
725,anti_vaccines,228
728,anti_vaccines,24231
730,anti_vaccines,131962
731,anti_vaccines,2930
732,anti_vaccines,24910
733,anti_vaccines,71
734,anti_vaccines,1969
735,anti_vaccines,44
736,anti_vaccines,27488
738,anti_vaccines,4655
739,anti_vaccines,160
741,anti_vaccines,215167
742,anti_vaccines,6356
743,anti_vaccines,38355
744,anti_vaccines,428
747,anti_vaccines,4103
748,anti_vaccines,2131
749,anti_vaccines,2419
752,anti_vaccines,3404
753,anti_vaccines,1405
754,anti_vaccines,1226
758,anti_vaccines,93473
759,anti_vaccines,140
762,anti_vaccines,11931
764,anti_vaccines,4392
765,anti_vaccines,620
766,anti_vaccines,332
767,anti_vaccines,4946
769,anti_vaccines,389
770,anti_vaccines,2725
772,anti_vaccines,13076
775,anti_vaccines,5563
776,anti_vaccines,2029
777,anti_vaccines,7492
779,anti_vaccines,778
780,anti_vaccines,3056
782,anti_vaccines,5505
783,anti_vaccines,8704
784,anti_vaccines,10572
787,anti_vaccines,14543
790,anti_vaccines,5435
791,anti_vaccines,3075
792,anti_vaccines,1407
795,anti_vaccines,1564
796,anti_vaccines,29
799,anti_vaccines,508
800,anti_vaccines,23479
803,anti_vaccines,3003
804,anti_vaccines,891
807,anti_vaccines,12387
810,anti_vaccines,883
812,anti_vaccines,848
813,anti_vaccines,541801
814,anti_vaccines,3353
815,anti_vaccines,993
816,anti_vaccines,9809
818,anti_vaccines,3048
819,anti_vaccines,1106
821,anti_vaccines,5124
824,anti_vaccines,170
825,anti_vaccines,9328
826,anti_vaccines,858
827,anti_vaccines,3210
829,anti_vaccines,6348
830,anti_vaccines,3152
831,anti_vaccines,676
832,anti_vaccines,4428
834,anti_vaccines,857
835,anti_vaccines,12468
837,anti_vaccines,553
838,anti_vaccines,86
839,anti_vaccines,218340
840,anti_vaccines,5082
841,anti_vaccines,1612
843,anti_vaccines,190
845,anti_vaccines,18116
846,anti_vaccines,545
848,anti_vaccines,657
849,anti_vaccines,852
850,anti_vaccines,413
851,anti_vaccines,59070
852,anti_vaccines,408
853,anti_vaccines,661
854,anti_vaccines,1008
855,anti_vaccines,1847
856,anti_vaccines,1961
857,anti_vaccines,2700
858,anti_vaccines,2369
859,anti_vaccines,837
860,anti_vaccines,660
862,anti_vaccines,2289
863,anti_vaccines,1239
865,anti_vaccines,13389
866,anti_vaccines,1003
867,anti_vaccines,908
868,anti_vaccines,364
869,anti_vaccines,4884
870,anti_vaccines,34
871,anti_vaccines,1682
875,anti_vaccines,214
877,anti_vaccines,1378
878,anti_vaccines,2879
879,anti_vaccines,10765
881,anti_vaccines,2160
882,anti_vaccines,1584
883,anti_vaccines,374
885,anti_vaccines,1290
886,anti_vaccines,31
889,anti_vaccines,849
891,anti_vaccines,8060
893,anti_vaccines,117
894,anti_vaccines,389
895,anti_vaccines,133
896,anti_vaccines,26
897,anti_vaccines,401
899,anti_vaccines,30972
900,anti_vaccines,42481
901,anti_vaccines,3649
904,anti_vaccines,23709
906,anti_vaccines,32173
907,anti_vaccines,161
908,anti_vaccines,981
909,anti_vaccines,1844
910,anti_vaccines,51
912,anti_vaccines,916
913,anti_vaccines,5290
914,anti_vaccines,176
916,anti_vaccines,2422
917,anti_vaccines,15406
918,anti_vaccines,122
921,anti_vaccines,2883
922,anti_vaccines,8017
923,anti_vaccines,1539
924,anti_vaccines,590
927,anti_vaccines,2474
929,anti_vaccines,302
930,anti_vaccines,84
931,anti_vaccines,231
932,anti_vaccines,198
933,anti_vaccines,129
935,anti_vaccines,32141
936,anti_vaccines,469
938,anti_vaccines,1534
939,anti_vaccines,3493
940,anti_vaccines,3830
941,anti_vaccines,2328
942,anti_vaccines,1550
943,anti_vaccines,195
944,anti_vaccines,591051
946,anti_vaccines,67
947,anti_vaccines,8086
949,anti_vaccines,1124
950,anti_vaccines,1880
951,anti_vaccines,493
952,anti_vaccines,288
954,anti_vaccines,2653
955,anti_vaccines,5859
957,anti_vaccines,549
959,anti_vaccines,4471
961,anti_vaccines,288
962,anti_vaccines,2804
964,anti_vaccines,6041
965,anti_vaccines,1587
966,anti_vaccines,238
968,anti_vaccines,144
969,anti_vaccines,234010
970,anti_vaccines,375
972,anti_vaccines,3552
973,anti_vaccines,1682
974,anti_vaccines,1845
975,anti_vaccines,1172
976,anti_vaccines,10713
977,anti_vaccines,2760
979,anti_vaccines,27
980,anti_vaccines,696
981,anti_vaccines,133
982,anti_vaccines,1282
984,anti_vaccines,1155
985,anti_vaccines,104
986,anti_vaccines,3483
987,anti_vaccines,976
988,anti_vaccines,59
989,anti_vaccines,77
990,anti_vaccines,2257
991,anti_vaccines,8584
995,anti_vaccines,1785
996,anti_vaccines,4844
998,anti_vaccines,2326
999,anti_vaccines,351
1001,anti_vaccines,1945
1003,anti_vaccines,2513
1004,anti_vaccines,1975
1005,anti_vaccines,89
1008,anti_vaccines,4023
1009,anti_vaccines,18508
1010,anti_vaccines,484
1011,anti_vaccines,1444
1012,anti_vaccines,291
1013,anti_vaccines,5123
1015,anti_vaccines,472
1016,anti_vaccines,4706
1017,anti_vaccines,51
1018,anti_vaccines,527
1019,anti_vaccines,291
1020,anti_vaccines,4084
1021,anti_vaccines,495
1022,anti_vaccines,180
1024,anti_vaccines,2900
1025,anti_vaccines,1197
1026,anti_vaccines,20979
1027,anti_vaccines,762
1028,anti_vaccines,233
1030,anti_vaccines,554
1031,anti_vaccines,3073
1033,anti_vaccines,3350
1034,anti_vaccines,1634
1035,anti_vaccines,33
1036,anti_vaccines,1396
1040,anti_vaccines,345
1041,anti_vaccines,235183
1042,anti_vaccines,2970
1044,anti_vaccines,673
1046,anti_vaccines,1525
1047,anti_vaccines,1184
1049,anti_vaccines,26
1050,anti_vaccines,7240
1051,anti_vaccines,2247
1053,anti_vaccines,712
1054,anti_vaccines,1087
1055,anti_vaccines,2936
