node,polarity,fan_size,pos
a_001,anti_vaccines,78,"(1567.709717, -24218.75)"
a_00100,anti_vaccines,5082,"(-1835.667725, 25781.25)"
a_001001,anti_vaccines,20773,"(160.108688, -749.809448)"
a_001002,anti_vaccines,409,"(-137.362717, -676.494263)"
a_001003,anti_vaccines,294,"(181.973236, -107.275665)"
a_001004,anti_vaccines,1706,"(176.026443, -575.499146)"
a_001005,anti_vaccines,450,"(-50.205498, -907.53772)"
a_001007,anti_vaccines,1033,"(837.199768, 38.245033)"
a_001008,anti_vaccines,2210,"(-117.37365, -622.076111)"
a_001009,anti_vaccines,2403,"(53.465477, -324.690552)"
a_001011,anti_vaccines,121,"(54.520298, -621.831482)"
a_001014,anti_vaccines,954,"(-75.267494, -802.321655)"
a_001016,anti_vaccines,2015,"(6.519486, -932.641663)"
a_001019,anti_vaccines,1421,"(462.79483, -116.848625)"
a_001024,anti_vaccines,1414,"(81.046906, -582.994446)"
a_001028,anti_vaccines,1101,"(-72.71312, -493.466034)"
a_001029,anti_vaccines,3520,"(110.291908, -224.102448)"
a_00103,anti_vaccines,6348,"(15453.017578, 25549.517578)"
a_001040,anti_vaccines,643,"(267.351624, -288.252686)"
a_001041,anti_vaccines,128026,"(53.860798, -732.543823)"
a_001049,anti_vaccines,944,"(110.372841, -868.761597)"
a_001050,anti_vaccines,690,"(-89.425812, -509.199707)"
a_001051,anti_vaccines,711,"(138.217285, -307.899017)"
a_001054,anti_vaccines,9713,"(-36.371891, -309.687653)"
a_001061,anti_vaccines,1027,"(-95.632202, -785.845459)"
a_001062,anti_vaccines,270,"(444.685608, 1168.882568)"
a_001063,anti_vaccines,373,"(55.324318, -591.818359)"
a_001067,anti_vaccines,20730,"(-14.824056, -886.660645)"
a_001073,anti_vaccines,512,"(18.576029, -377.503693)"
a_001081,anti_vaccines,356,"(116.449966, -458.224304)"
a_001083,anti_vaccines,5471,"(277.977875, -814.742371)"
a_001084,anti_vaccines,1818,"(382.203949, -339.271637)"
a_001091,anti_vaccines,2991,"(433.884552, -284.751984)"
a_001094,anti_vaccines,685,"(-28.354509, -672.581726)"
a_001097,anti_vaccines,890,"(-167.710144, -514.150269)"
a_001100,anti_vaccines,1527,"(182.277054, 134.434296)"
a_001102,anti_vaccines,6783,"(-65.443886, -759.760437)"
a_001107,anti_vaccines,1409,"(-73.370262, -620.110229)"
a_001110,anti_vaccines,2555,"(172.852936, -659.073975)"
a_001112,anti_vaccines,23508,"(357.791321, -761.266418)"
a_001117,anti_vaccines,2532,"(-81.608658, -468.728973)"
a_001118,anti_vaccines,20375,"(-36.336441, -972.009033)"
a_00112,anti_vaccines,25,"(13509.939453, -24218.75)"
a_001123,anti_vaccines,1041,"(430.950562, -546.550598)"
a_001124,anti_vaccines,11543,"(130.692749, -527.191833)"
a_001125,anti_vaccines,12628,"(120.156944, -657.889404)"
a_001126,anti_vaccines,4056,"(287.437866, -356.429718)"
a_001129,anti_vaccines,80779,"(144.861542, -668.897583)"
a_001130,anti_vaccines,8158,"(80.484711, -660.40387)"
a_001131,anti_vaccines,5393,"(1022.304077, 275.938843)"
a_001134,anti_vaccines,3373,"(166.278442, -315.56839)"
a_001135,anti_vaccines,1776,"(90.594177, -451.054626)"
a_001136,anti_vaccines,397,"(45.27055, -234.143677)"
a_001139,anti_vaccines,4688,"(155.689316, -515.911682)"
a_001143,anti_vaccines,8804,"(-27.857672, -841.053955)"
a_001152,anti_vaccines,810,"(194.973587, -420.98175)"
a_001153,anti_vaccines,1985,"(-15.140057, -296.583466)"
a_001155,anti_vaccines,2417,"(-1.28717, -346.09726)"
a_001166,anti_vaccines,19580,"(98.540504, -689.981995)"
a_001167,anti_vaccines,8488,"(-7.767019, -865.067322)"
a_001170,anti_vaccines,12048,"(-51.361454, -813.110596)"
a_001173,anti_vaccines,3097,"(-1.287079, -251.877823)"
a_001178,anti_vaccines,4131,"(73.572037, -343.014435)"
a_001187,anti_vaccines,7377,"(-38.784168, -552.581421)"
a_00119,anti_vaccines,1860,"(-22151.123047, -19807.921875)"
a_001191,anti_vaccines,3239,"(-33.938931, -257.060883)"
a_001193,anti_vaccines,4916,"(18.651434, -300.260834)"
a_001198,anti_vaccines,35211,"(-104.57254, -379.176758)"
a_00120,anti_vaccines,337,"(25781.25, -5537.466797)"
a_001205,anti_vaccines,1363,"(372.314606, 1197.04541)"
a_001206,anti_vaccines,18887,"(-630.30249, -29.959759)"
a_00121,anti_vaccines,3697,"(-1159.033081, -897.653442)"
a_001215,anti_vaccines,9665,"(181.988846, -796.541321)"
a_001217,anti_vaccines,21669,"(34.169716, -862.784485)"
a_001222,anti_vaccines,123378,"(103.79921, -795.997803)"
a_001224,anti_vaccines,5626,"(-83.351158, -656.032471)"
a_001225,anti_vaccines,2797,"(5.052397, -526.542664)"
a_001234,anti_vaccines,14958,"(74.099731, -254.425873)"
a_001238,anti_vaccines,3190,"(149.493256, -466.680023)"
a_001242,anti_vaccines,8403,"(-72.523651, -350.546631)"
a_001244,anti_vaccines,81081,"(188.529724, -440.032928)"
a_001247,anti_vaccines,8968,"(197.935547, -526.593567)"
a_001249,anti_vaccines,536055,"(-449.400452, -225.42749)"
a_001251,anti_vaccines,3693,"(-146.123688, -569.784058)"
a_001264,anti_vaccines,14937,"(111.228271, -338.36853)"
a_001265,anti_vaccines,520933,"(-343.213043, -358.098358)"
a_001268,anti_vaccines,26038,"(163.663223, -409.606598)"
a_001269,anti_vaccines,113560,"(344.903656, -535.418152)"
a_001270,anti_vaccines,13750,"(118.675964, -416.008179)"
a_001271,anti_vaccines,20863,"(177.044632, -361.055328)"
a_001272,anti_vaccines,217169,"(615.811951, -172.375046)"
a_001273,anti_vaccines,28053,"(59.188076, -497.31839)"
a_001278,anti_vaccines,87393,"(-82.640945, -424.837738)"
a_001280,anti_vaccines,231440,"(-14.938364, -423.047363)"
a_001281,anti_vaccines,213523,"(54.354935, -433.633179)"
a_001284,anti_vaccines,27,"(-155.126282, -1056.450317)"
a_001285,anti_vaccines,136,"(-144.271332, -1047.620361)"
a_001288,anti_vaccines,494,"(-157.670654, -1047.075806)"
a_001292,anti_vaccines,24,"(-189.872559, -1239.414551)"
a_001293,anti_vaccines,118,"(5.386761, -597.322266)"
a_001294,anti_vaccines,191,"(-430.316925, -885.48877)"
a_001297,anti_vaccines,29497,"(25781.25, 19230.40625)"
a_00131,anti_vaccines,999,"(-24218.75, -2992.194092)"
a_001319,anti_vaccines,1641,"(-770.444946, 207.194916)"
a_001324,anti_vaccines,5133,"(638.743652, -1216.281616)"
a_00135,anti_vaccines,939,"(21406.166016, -20705.277344)"
a_00138,anti_vaccines,427,"(11946.205078, 25781.25)"
a_00139,anti_vaccines,987,"(-15533.195313, 25381.675781)"
a_00140,anti_vaccines,2971,"(25781.25, -9959.649414)"
a_00143,anti_vaccines,4023,"(341.771606, -826.329163)"
a_00148,anti_vaccines,290,"(260.346466, -1084.415649)"
a_00149,anti_vaccines,947,"(242.997467, -974.230408)"
a_00154,anti_vaccines,26917,"(555.961121, -1094.254395)"
a_00174,anti_vaccines,1897,"(96.79409, -1095.422119)"
a_00175,anti_vaccines,182,"(208.17717, -683.031921)"
a_00187,anti_vaccines,177,"(-161.292633, -798.329407)"
a_00189,anti_vaccines,1387,"(656.191101, -227.006516)"
a_00203,anti_vaccines,260,"(316.430542, -1154.706055)"
a_00205,anti_vaccines,3129,"(250.52948, -1105.924805)"
a_00207,anti_vaccines,8766,"(204.594177, -336.172058)"
a_00228,anti_vaccines,3172,"(-161.969055, -780.393921)"
a_00237,anti_vaccines,13070,"(137.40947, -817.111816)"
a_00241,anti_vaccines,176,"(-21.017128, -938.843933)"
a_0026,anti_vaccines,406,"(-20972.990234, -21099.679688)"
a_00265,anti_vaccines,111,"(656.033264, -773.676392)"
a_00267,anti_vaccines,116,"(656.59906, -748.226685)"
a_00279,anti_vaccines,3056,"(588.394714, -742.063843)"
a_00281,anti_vaccines,1662,"(-649.982849, -489.099854)"
a_003,anti_vaccines,235,"(19960.234375, 22200.105469)"
a_00305,anti_vaccines,640,"(-101.492958, -547.830017)"
a_00307,anti_vaccines,923,"(-160.886139, -348.997406)"
a_00323,anti_vaccines,193,"(-242.00325, -969.197571)"
a_00327,anti_vaccines,191,"(-1326.080566, -402.942841)"
a_00328,anti_vaccines,680,"(54.915405, -285.499054)"
a_00337,anti_vaccines,512,"(283.40329, -1097.885376)"
a_0034,anti_vaccines,1340,"(20874.0625, -21289.425781)"
a_0036,anti_vaccines,1286,"(25781.25, -13445.538086)"
a_00360,anti_vaccines,212,"(303.69223, -1487.382568)"
a_00361,anti_vaccines,885,"(286.289368, -1223.085693)"
a_00372,anti_vaccines,1679,"(545.369507, -94.747284)"
a_00373,anti_vaccines,978,"(-62.074028, -192.374527)"
a_00375,anti_vaccines,881,"(-214.662109, -467.782104)"
a_00376,anti_vaccines,3680,"(321.309387, -1606.796753)"
a_0038,anti_vaccines,26,"(571.746704, -24218.75)"
a_00386,anti_vaccines,71,"(396.087677, -413.484039)"
a_00387,anti_vaccines,1479,"(106.943115, -375.360596)"
a_00389,anti_vaccines,28,"(262.968689, 685.329773)"
a_00397,anti_vaccines,1307,"(156.066757, -547.281006)"
a_00398,anti_vaccines,388,"(245.63472, -706.233337)"
a_004,anti_vaccines,361,"(-18484.548828, 23372.326172)"
a_0040,anti_vaccines,164,"(-24218.75, 3776.789307)"
a_00422,anti_vaccines,326,"(201.651398, -469.292755)"
a_00432,anti_vaccines,93,"(-127.370285, -920.271912)"
a_00434,anti_vaccines,507,"(-936.404419, 296.343994)"
a_0044,anti_vaccines,1792,"(-14440.770508, 25781.25)"
a_00447,anti_vaccines,2729,"(-95.84362, -984.088989)"
a_00448,anti_vaccines,1288,"(295.627014, -601.989319)"
a_00452,anti_vaccines,617,"(254.824219, 121.058212)"
a_00454,anti_vaccines,1549,"(26.520128, -343.253296)"
a_00458,anti_vaccines,50,"(-195.476959, -486.100189)"
a_0046,anti_vaccines,85,"(1055.184082, 25781.25)"
a_00460,anti_vaccines,1169,"(259.383728, -374.403687)"
a_00462,anti_vaccines,1425,"(86.115898, -909.208313)"
a_00471,anti_vaccines,326,"(806.754456, 261.055084)"
a_0048,anti_vaccines,1033,"(383.386993, -486.025146)"
a_00483,anti_vaccines,484,"(-218.882217, -144.51062)"
a_00487,anti_vaccines,247,"(9.66332, -203.179901)"
a_00502,anti_vaccines,228,"(461.044495, -231.491623)"
a_00504,anti_vaccines,2293,"(496.65152, -521.107849)"
a_00508,anti_vaccines,3091,"(96.171043, -223.147491)"
a_00513,anti_vaccines,1636,"(-135.455429, -868.05127)"
a_00520,anti_vaccines,348,"(138.942245, -875.718994)"
a_00521,anti_vaccines,1760,"(282.257416, -975.793518)"
a_00523,anti_vaccines,2719,"(285.12561, -968.431885)"
a_00524,anti_vaccines,1018,"(271.678101, -976.362244)"
a_00527,anti_vaccines,232,"(270.817139, -967.338379)"
a_00528,anti_vaccines,5859,"(283.815674, -985.733154)"
a_0053,anti_vaccines,306,"(21845.060547, -20282.630859)"
a_00537,anti_vaccines,894,"(228.726822, -722.976135)"
a_00545,anti_vaccines,159,"(28.974291, -1072.881958)"
a_00549,anti_vaccines,1373,"(141.806625, -1006.689819)"
a_0055,anti_vaccines,3874,"(25781.25, 3954.445557)"
a_00552,anti_vaccines,30,"(153.435364, -1014.000244)"
a_00557,anti_vaccines,1526,"(177.819153, -1006.803467)"
a_00558,anti_vaccines,7178,"(243.440262, -785.290527)"
a_00559,anti_vaccines,130,"(156.140167, -1003.973083)"
a_00561,anti_vaccines,385,"(168.048615, -1000.311279)"
a_00563,anti_vaccines,16359,"(-241.970184, -499.521118)"
a_00564,anti_vaccines,8536,"(160.315872, -992.627441)"
a_00565,anti_vaccines,1213,"(139.55365, -1018.06012)"
a_00566,anti_vaccines,4497,"(-205.906311, -798.44989)"
a_00567,anti_vaccines,126,"(148.631042, -998.427002)"
a_00574,anti_vaccines,261,"(320.001068, -900.722839)"
a_00575,anti_vaccines,380,"(-22.198111, -761.547607)"
a_00586,anti_vaccines,318,"(166.931427, -1101.844238)"
a_00588,anti_vaccines,2899,"(251.998489, -925.664917)"
a_00589,anti_vaccines,33506,"(-248.539139, 40.052559)"
a_00598,anti_vaccines,1127,"(282.11972, -530.866699)"
a_006,anti_vaccines,8771,"(-531.540161, -1004.376343)"
a_00604,anti_vaccines,46,"(460.387177, -810.938965)"
a_00608,anti_vaccines,1392,"(35.126389, -981.78772)"
a_00616,anti_vaccines,731,"(-19.621683, -541.182007)"
a_00618,anti_vaccines,32937,"(-173.004807, -229.925125)"
