source_node,target_node,weight
a_001002,a_001251,1777446
a_001008,a_001265,1257768094
a_001009,n_001149,842312250
a_001009,a_001265,1562859675
a_001009,a_001139,14996475
a_001009,a_001054,29779425
a_001009,a_001272,635745825
a_001009,n_001277,460778175
a_001009,a_001234,44226000
a_001009,a_001193,14197950
a_001009,a_001273,81271125
a_001009,a_001268,77252175
a_001009,a_001271,61796475
a_001009,a_00999,38212200
a_001009,a_001136,1149525
a_001009,a_001270,49049325
a_001009,a_001264,44585775
a_001009,a_001278,265063500
a_001009,a_001280,681311475
a_001009,a_001281,638893125
a_001009,a_001135,5174325
a_001011,a_001170,2289750
a_001011,a_001280,33075634
a_001011,a_001268,3750362
a_001011,a_001225,439206
a_001011,a_001019,200930
a_001011,a_001281,31016350
a_001011,a_001054,1445702
a_001011,n_00824,60350
a_001014,a_001222,197714301
a_001014,a_001244,139960065
a_001014,a_001265,808412543
a_001014,a_001041,206786249
a_001014,a_001281,330477025
a_001014,n_00374,1450967
a_001019,a_00372,2388520
a_001019,a_00821,1400850
a_001029,n_00843,8976972
a_001029,a_00931,44067496
a_001029,n_00955,5753120
a_001029,a_001281,766234900
a_001040,n_001277,120353684
a_001040,a_001155,1846588
a_001040,a_001271,16141028
a_001040,n_00701,3362364
a_001040,a_001247,7411564
a_001041,n_001277,21530234363
a_001041,a_001280,31834831871
a_001041,a_001269,16527182525
a_001041,a_001281,29852800025
a_001041,a_00931,1716886226
a_001041,a_001251,574299946
a_001041,a_00799,17357471
a_001049,a_001269,316702575
a_001049,a_001222,342243063
a_001050,n_001237,4234964
a_001050,a_001281,222575075
a_001050,a_001268,26912809
a_001050,a_00662,5168368
a_001050,a_001247,9885319
a_001050,n_00666,1553975
a_001050,n_00697,11399553
a_001050,a_00952,32024113
a_001050,a_001134,3430973
a_001050,a_001270,17087611
a_001050,n_00383,25841840
a_001050,n_00617,30964353
a_001050,a_001084,1889226
a_001050,a_001002,431037
a_001050,a_001187,7909478
a_001050,a_00900,1289035
a_001050,a_00865,2305997
a_001050,n_00659,21647636
a_001050,a_001178,6170045
a_001050,a_00817,747946
a_001050,n_00760,859017
a_001050,a_001271,21528413
a_001051,a_001271,15486091
a_001051,a_001280,170735491
a_001051,n_001277,115470223
a_001051,a_001136,288069
a_001051,a_001278,66424460
a_001051,a_00972,171522
a_001051,a_001139,3758091
a_001051,a_001126,3450964
a_001051,a_001054,7462673
a_001051,a_001281,160105525
a_001051,a_001273,20366405
a_001051,a_001268,19359263
a_001051,a_001264,11173119
a_001051,a_001073,370165
a_001054,a_001281,2223784925
a_001054,n_00824,4326925
a_001061,n_001210,39483778
a_001061,n_001245,49862351
a_001063,a_001273,10169310
a_001067,a_001217,638552480
a_001067,n_001195,107769352
a_001067,a_001005,15337246
a_001067,a_001251,114470884
a_001067,n_001188,1780455394
a_001067,a_001268,719488462
a_001067,n_001230,228424170
a_001067,a_00447,77503490
a_001067,a_001110,76441052
a_001081,a_001280,83387866
a_001081,a_001273,9947030
a_001083,n_00477,24936608
a_001083,n_00441,2832628
a_001083,n_00465,4533390
a_001083,n_00413,17878742
a_001083,a_001222,774391902
a_001091,a_001272,643135691
a_001094,a_001061,860685
a_001094,a_001041,100454655
a_001094,a_001167,8354745
a_001094,n_001113,23752260
a_001094,a_001281,160542375
a_001094,a_00917,3349395
a_001094,n_001277,115785285
a_001094,a_00943,5017845
a_001094,n_001189,1084125
a_001094,n_00416,698250
a_001094,a_001280,171201345
a_001094,a_001273,20421975
a_001094,a_001143,10929450
a_001094,a_001102,7029540
a_001094,a_001244,67991175
a_001094,p_00673,3597825
a_001094,a_001238,2909865
a_001094,n_001195,2907660
a_001094,n_001188,48037395
a_001094,a_00432,70560
a_001094,a_001011,104370
a_001094,a_001224,7397040
a_001094,a_001014,1112055
a_001094,a_001005,413805
a_001094,a_001225,2273355
a_001094,a_00818,456435
a_001094,a_001251,3088470
a_001094,a_001067,20022870
a_001094,a_001217,17228400
a_001094,a_001215,8544375
a_001100,n_001240,43563990
a_001100,p_001279,330462200
a_001100,n_001236,80411570
a_001100,p_001259,354822245
a_001102,a_001249,5206832880
a_001102,a_001273,265735740
a_001102,a_001281,2089016700
a_001102,n_001277,1506626484
a_001102,a_001280,2227713828
a_001102,n_00431,2257104
a_001102,n_00430,420816
a_001107,a_001242,13159530
a_001107,a_001281,334190250
a_001112,a_001247,239110248
a_001117,a_001198,111722384
a_001117,a_001134,10643087
a_001118,n_00699,683002826
a_001124,a_001217,334652880
a_001124,a_00930,20273340
a_001124,n_001277,2249070087
a_001124,a_001272,3103091673
a_001126,n_00796,14368816
a_001126,a_00998,49598780
a_001126,a_00890,5178800
a_001126,a_001123,15625852
a_001126,n_00985,2047980
a_001126,a_00504,11562848
a_001126,a_001270,78948452
a_001126,a_001264,71764044
a_001126,a_001193,22852632
a_001126,a_001271,99465916
a_001126,a_001281,1028344900
a_001126,n_00968,13347180
a_001126,a_001191,15202132
a_001126,a_001280,1096620316
a_001126,a_001234,71184960
a_001126,a_001278,426638960
a_001126,n_001277,741655948
a_001130,n_00605,7516912
a_001130,a_00537,7337744
a_001130,n_00745,5749664
a_001130,a_00704,3599648
a_001130,n_00806,7671648
a_001130,a_00908,15978528
a_001130,a_001281,1778853200
a_001130,a_001247,79004944
a_001130,a_001238,32242096
a_001130,n_00633,15945952
a_001130,n_00499,46029888
a_001130,n_001245,346779664
a_001130,a_00815,66161856
a_001131,n_001266,83791947630
a_001131,p_001263,34208742105
a_001131,n_001144,155253015
a_001131,n_001196,1957841100
a_001131,p_001159,45676320
a_001131,n_001204,102539355
a_001131,p_001261,11133536610
a_001131,n_001163,206240535
a_001131,n_001190,483418785
a_001131,n_001219,90555960
a_001131,n_001192,57194985
a_001131,n_001212,3112661955
a_001131,a_001272,7214900055
a_001131,n_001182,965775330
a_001134,a_001268,88925837
a_001134,a_001281,735436975
a_001134,a_001271,71134609
a_001134,a_001264,51323181
a_001134,a_001280,784265209
a_001134,a_001270,56461223
a_001134,a_001152,2707068
a_001134,a_00954,7797972
a_001134,a_001247,32663267
a_001134,a_001193,16343418
a_001135,a_001273,49151665
a_001135,a_001281,386393825
a_001135,a_001280,412047863
a_001136,a_001249,213957060
a_001136,a_001100,662205
a_001136,a_001270,6590217
a_001136,a_001268,10379523
a_001136,a_001271,8302911
a_001136,a_001242,3380193
a_001136,a_001009,1149525
a_001136,n_00700,9432
a_001136,n_00801,108075
a_001136,a_001073,198465
a_001136,a_001193,1907622
a_001136,n_001058,5384493
a_001136,a_001281,85841025
a_001136,n_001209,28508220
a_001136,n_001277,61909683
a_001136,a_001278,35613660
a_001136,a_001264,5990499
a_001136,a_001273,10919505
a_001136,n_001085,1408119
a_001136,a_001117,1242273
a_001136,a_001280,91540311
a_001143,a_001170,239778750
a_001152,a_001247,7799604
a_001153,a_001155,4797745
a_001153,a_001191,6409565
a_001153,a_001173,6020505
a_001153,n_001277,312699035
a_001155,n_001277,380752427
a_001170,a_00952,506760375
a_001170,a_001016,148608000
a_001170,a_001014,24397125
a_001170,a_001118,502116375
a_001170,a_001049,42231375
a_001170,a_00891,60420375
a_001170,a_001281,3522103125
a_001170,a_001167,183292875
a_001170,a_00513,35168625
a_001173,a_001191,9793557
a_001173,n_001277,477791523
a_001178,n_00500,1168615
a_001178,a_00508,18564630
a_001178,n_00484,175595
a_001178,a_00828,12558070
a_001178,a_001124,86447235
a_001178,a_00618,212578940
a_001178,n_00766,15422085
a_001178,n_00485,390202365
a_001178,a_001244,560117775
a_001178,a_00848,14743925
a_001178,n_001046,2706585
a_001178,a_001265,3235253105
a_001178,a_00753,308805
a_001178,n_001245,257827955
a_001178,n_001055,609199605
a_001178,a_001264,92296365
a_001178,a_001280,1410372985
a_001178,a_001187,46998910
a_001178,n_001277,953850205
a_001178,a_001278,548704100
a_001178,a_001242,52079055
a_001178,a_001268,159918605
a_001178,n_00774,55088390
a_001178,a_001251,25443110
a_001178,a_001281,1322563375
a_001178,a_001271,127923985
a_001187,a_001222,1014314874
a_001187,n_001232,805633504
a_001187,n_001113,250836792
a_001187,a_001224,78116768
a_001187,a_001251,32615924
a_001187,n_00494,546988140
a_001187,n_001237,32258872
a_001187,a_001135,13730978
a_001187,a_001280,1807979374
a_001187,a_001270,130160978
a_001187,a_001264,118316166
a_001187,n_001277,1222755622
a_001187,a_001244,718023810
a_001187,a_00972,1816308
a_001187,a_001281,1695414850
a_001191,a_001173,9793557
a_001191,n_001277,508667599
a_001193,n_001277,764655474
a_001193,n_00700,116496
a_001193,a_001073,2451270
a_001193,a_001278,439869480
a_001193,n_00801,1334850
a_001198,n_00903,134978736
a_001198,n_00793,81538608
a_001198,n_001032,583494096
a_001198,n_00639,89384976
a_001198,n_00994,310673760
a_001198,n_00579,581762240
a_001198,a_001271,746712688
a_001198,a_001178,214007920
a_001198,a_001238,139926896
a_001198,n_001048,52697904
a_001198,n_00794,88332679088
a_001198,n_00718,104244865984
a_001198,a_001136,13890192
a_001198,a_001139,181208688
a_001198,n_001085,126637552
a_001198,a_001268,933470384
a_001198,a_001242,303993744
a_001198,a_001264,538748592
a_001198,a_001100,59554640
a_001198,n_001235,40318420592
a_001198,n_00607,60897712
a_001198,n_00663,9366160
a_001198,n_00759,1687711344
a_001198,n_001047,92565936
a_001198,n_001057,625942240
a_001198,n_00962,18058133200
a_001198,n_00510,36439664
a_001198,p_001263,36423370416
a_001198,a_001272,7681983056
a_001198,a_001124,504606288
a_001198,a_001173,107198352
a_001198,a_001153,70157840
a_001198,a_001155,85426448
a_001198,a_001278,3202873280
a_001198,n_001245,1504982864
a_001198,n_001025,20711584
a_001198,a_001265,18884687984
a_001198,a_001280,8232571888
a_001198,a_001273,982033040
a_001198,n_001277,5567775664
a_001198,a_001281,7720013200
a_001205,n_001199,28116550
a_001205,p_001092,338800
a_001205,p_001185,1310925
a_001205,a_00886,84700
a_001205,n_00664,8198575
a_001205,a_001244,178072125
a_001205,n_001089,1591975
a_001205,n_001106,962500
a_001205,n_001207,415800
a_001205,n_001186,625625
a_001205,a_001281,420468125
a_001205,p_001274,2829719200
a_001205,p_001160,2152150
a_001205,p_001220,1495725
a_001205,n_001250,16886100
a_001205,n_001103,5103175
a_001205,p_001262,8818425
a_001205,p_001276,24056725
a_001205,p_001150,1199275
a_001205,p_001169,292600
a_001205,n_001074,698775
a_001205,n_001228,1697850
a_001205,p_001211,897050
a_001205,p_001267,71430975
a_001205,p_001165,1370600
a_001205,p_001258,5815425
a_001205,p_001253,2860550
a_001205,p_001214,7915600
a_001205,p_001279,377531000
a_001205,n_001256,16714775
a_001205,p_001255,1474550
a_001205,n_001227,5628700
a_001205,p_001260,29621900
a_001205,n_001090,1041425
a_001205,p_001241,5139750
a_001205,p_001254,33779900
a_001206,n_001235,21377523820
a_001206,n_00939,59536980
a_001206,n_001141,873171560
a_001206,n_001202,632362560
a_00121,n_00212,2319801900
a_00121,n_001291,63472500
a_001215,a_00891,43558875
a_001215,n_00791,12508500
a_001215,n_001164,88477875
a_001215,a_00520,21390000
a_001215,n_00531,210214875
a_001215,a_00742,8637375
a_001215,n_00529,17402625
a_001215,a_001224,116994000
a_001215,a_00762,5568375
a_001215,a_001170,187453125
a_001215,a_00621,16670250
a_001215,a_00957,33142875
a_001215,a_001005,6544875
a_001215,a_00521,34235625
a_001215,a_00997,45500250
a_001215,a_001014,17588625
a_001215,a_00945,9416250
a_001215,a_00805,75144000
a_001215,a_001166,311340750
a_001215,n_00985,5056875
a_001215,a_001123,38583375
a_001215,a_00917,52975125
a_001215,a_00523,33979875
a_001215,a_001187,90233250
a_001215,n_00810,50429250
