node,polarity,fan_size,pos
a_001297,anti_vaccines,32353,"(25781.25, 19230.40625)"
a_00131,anti_vaccines,1177,"(-24218.75, -2992.194092)"
a_001319,anti_vaccines,1744,"(-770.444946, 207.194916)"
a_001324,anti_vaccines,5390,"(638.743652, -1216.281616)"
a_00135,anti_vaccines,944,"(21406.166016, -20705.277344)"
a_00138,anti_vaccines,528,"(11946.205078, 25781.25)"
a_00139,anti_vaccines,1754,"(-15533.195313, 25381.675781)"
a_00140,anti_vaccines,3005,"(25781.25, -9959.649414)"
a_00143,anti_vaccines,3977,"(341.771606, -826.329163)"
a_00148,anti_vaccines,289,"(260.346466, -1084.415649)"
a_00149,anti_vaccines,987,"(242.997467, -974.230408)"
a_00154,anti_vaccines,27458,"(555.961121, -1094.254395)"
a_00174,anti_vaccines,2090,"(96.79409, -1095.422119)"
a_00175,anti_vaccines,368,"(208.17717, -683.031921)"
a_00187,anti_vaccines,179,"(-161.292633, -798.329407)"
a_00189,anti_vaccines,1495,"(656.191101, -227.006516)"
a_00203,anti_vaccines,261,"(316.430542, -1154.706055)"
a_00205,anti_vaccines,3175,"(250.52948, -1105.924805)"
a_00207,anti_vaccines,9749,"(204.594177, -336.172058)"
a_00228,anti_vaccines,3204,"(-161.969055, -780.393921)"
a_00237,anti_vaccines,13385,"(137.40947, -817.111816)"
a_00241,anti_vaccines,181,"(-21.017128, -938.843933)"
a_0026,anti_vaccines,398,"(-20972.990234, -21099.679688)"
a_00265,anti_vaccines,114,"(656.033264, -773.676392)"
a_00267,anti_vaccines,117,"(656.59906, -748.226685)"
a_00279,anti_vaccines,3050,"(588.394714, -742.063843)"
a_00281,anti_vaccines,1773,"(-649.982849, -489.099854)"
a_003,anti_vaccines,446,"(19960.234375, 22200.105469)"
a_00305,anti_vaccines,747,"(-101.492958, -547.830017)"
a_00307,anti_vaccines,961,"(-160.886139, -348.997406)"
a_00323,anti_vaccines,199,"(-242.00325, -969.197571)"
a_00327,anti_vaccines,192,"(-1326.080566, -402.942841)"
a_00328,anti_vaccines,692,"(54.915405, -285.499054)"
a_00337,anti_vaccines,508,"(283.40329, -1097.885376)"
a_0034,anti_vaccines,1364,"(20874.0625, -21289.425781)"
a_0036,anti_vaccines,2448,"(25781.25, -13445.538086)"
a_00360,anti_vaccines,219,"(303.69223, -1487.382568)"
a_00361,anti_vaccines,1064,"(286.289368, -1223.085693)"
a_00372,anti_vaccines,1688,"(545.369507, -94.747284)"
a_00373,anti_vaccines,1004,"(-62.074028, -192.374527)"
a_00375,anti_vaccines,943,"(-214.662109, -467.782104)"
a_00376,anti_vaccines,3643,"(321.309387, -1606.796753)"
a_0038,anti_vaccines,0,"(571.746704, -24218.75)"
a_00386,anti_vaccines,70,"(396.087677, -413.484039)"
a_00387,anti_vaccines,1472,"(106.943115, -375.360596)"
a_00389,anti_vaccines,30,"(262.968689, 685.329773)"
a_00397,anti_vaccines,1289,"(156.066757, -547.281006)"
a_00398,anti_vaccines,621,"(245.63472, -706.233337)"
a_004,anti_vaccines,356,"(-18484.548828, 23372.326172)"
a_0040,anti_vaccines,161,"(-24218.75, 3776.789307)"
a_00422,anti_vaccines,381,"(201.651398, -469.292755)"
a_00432,anti_vaccines,96,"(-127.370285, -920.271912)"
a_00434,anti_vaccines,534,"(-936.404419, 296.343994)"
a_0044,anti_vaccines,1768,"(-14440.770508, 25781.25)"
a_00447,anti_vaccines,2845,"(-95.84362, -984.088989)"
a_00448,anti_vaccines,1291,"(295.627014, -601.989319)"
a_00452,anti_vaccines,618,"(254.824219, 121.058212)"
a_00454,anti_vaccines,1562,"(26.520128, -343.253296)"
a_00458,anti_vaccines,49,"(-195.476959, -486.100189)"
a_0046,anti_vaccines,0,"(1055.184082, 25781.25)"
a_00460,anti_vaccines,1181,"(259.383728, -374.403687)"
a_00462,anti_vaccines,2587,"(86.115898, -909.208313)"
a_00471,anti_vaccines,324,"(806.754456, 261.055084)"
a_0048,anti_vaccines,1574,"(383.386993, -486.025146)"
a_00483,anti_vaccines,484,"(-218.882217, -144.51062)"
a_00487,anti_vaccines,241,"(9.66332, -203.179901)"
a_00502,anti_vaccines,228,"(461.044495, -231.491623)"
a_00504,anti_vaccines,2456,"(496.65152, -521.107849)"
a_00508,anti_vaccines,3066,"(96.171043, -223.147491)"
a_00513,anti_vaccines,2181,"(-135.455429, -868.05127)"
a_00520,anti_vaccines,1840,"(138.942245, -875.718994)"
a_00521,anti_vaccines,2945,"(282.257416, -975.793518)"
a_00523,anti_vaccines,2923,"(285.12561, -968.431885)"
a_00524,anti_vaccines,997,"(271.678101, -976.362244)"
a_00527,anti_vaccines,240,"(270.817139, -967.338379)"
a_00528,anti_vaccines,5861,"(283.815674, -985.733154)"
a_0053,anti_vaccines,299,"(21845.060547, -20282.630859)"
a_00537,anti_vaccines,901,"(228.726822, -722.976135)"
a_00545,anti_vaccines,172,"(28.974291, -1072.881958)"
a_00549,anti_vaccines,2662,"(141.806625, -1006.689819)"
a_0055,anti_vaccines,0,"(25781.25, 3954.445557)"
a_00552,anti_vaccines,53,"(153.435364, -1014.000244)"
a_00557,anti_vaccines,2971,"(177.819153, -1006.803467)"
a_00558,anti_vaccines,8436,"(243.440262, -785.290527)"
a_00559,anti_vaccines,136,"(156.140167, -1003.973083)"
a_00561,anti_vaccines,397,"(168.048615, -1000.311279)"
a_00563,anti_vaccines,20423,"(-241.970184, -499.521118)"
a_00564,anti_vaccines,8738,"(160.315872, -992.627441)"
a_00565,anti_vaccines,1716,"(139.55365, -1018.06012)"
a_00566,anti_vaccines,4591,"(-205.906311, -798.44989)"
a_00567,anti_vaccines,125,"(148.631042, -998.427002)"
a_00574,anti_vaccines,305,"(320.001068, -900.722839)"
a_00575,anti_vaccines,478,"(-22.198111, -761.547607)"
a_00586,anti_vaccines,314,"(166.931427, -1101.844238)"
a_00588,anti_vaccines,5046,"(251.998489, -925.664917)"
a_00589,anti_vaccines,33381,"(-248.539139, 40.052559)"
